Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,42.86000061035156,45.08000183105469,42.04999923706055,44.540000915527344,43.23434829711914,4777200
2020-04-28,46.040000915527344,46.810001373291016,44.5,44.97999954223633,43.66144561767578,4409600
2020-04-29,47.20000076293945,47.900001525878906,45.470001220703125,47.720001220703125,46.321128845214844,6661500
2020-04-30,47.79999923706055,49.11000061035156,45.86000061035156,47.5099983215332,46.11728286743164,5449300
2020-05-01,46.13999938964844,46.959999084472656,43.84000015258789,44.56999969482422,43.26346206665039,5699200
2020-05-04,43.5,46.79999923706055,43.2599983215332,46.7400016784668,45.36985778808594,7710200
2020-05-05,48.5,49.20000076293945,45.70000076293945,46.04999923706055,44.70008087158203,7181600
2020-05-06,46.13999938964844,47.08000183105469,45.599998474121094,45.84000015258789,44.49623489379883,3247100
2020-05-07,47.56999969482422,49.40999984741211,47.38999938964844,48.310001373291016,46.89383316040039,5907500
2020-05-08,49.29999923706055,51.5099983215332,48.459999084472656,51.45000076293945,49.9417839050293,7285800
2020-05-11,50.7400016784668,51.970001220703125,49.5,49.84000015258789,48.37898254394531,5279100
2020-05-12,50.0099983215332,50.540000915527344,48.709999084472656,49.720001220703125,48.26249694824219,5286000
2020-05-13,49.45000076293945,49.45000076293945,47.54999923706055,48.20000076293945,46.787052154541016,5768000
2020-05-14,47.13999938964844,48.959999084472656,45.90999984741211,47.560001373291016,46.16581726074219,5903800
2020-05-15,47.09000015258789,48.810001373291016,46.939998626708984,47.68000030517578,46.28230285644531,4004800
2020-05-18,50.5,52.68000030517578,50.0099983215332,52.439998626708984,50.90275955200195,6342000
2020-05-19,52.290000915527344,52.77000045776367,50.58000183105469,50.65999984741211,49.17494201660156,3559100
2020-05-20,51.650001525878906,53.38999938964844,51.5099983215332,52.650001525878906,51.10660934448242,3303600
2020-05-21,52.95000076293945,53.560001373291016,51.61000061035156,52.31999969482422,50.78628158569336,3881100
2020-05-22,52.209999084472656,52.380001068115234,50.95000076293945,52.279998779296875,50.74745178222656,2500200
2020-05-26,54.36000061035156,54.369998931884766,51.29999923706055,51.439998626708984,49.93207550048828,5685300
2020-05-27,52.279998779296875,52.7400016784668,50.33000183105469,52.72999954223633,51.18426513671875,3968600
2020-05-28,52.61000061035156,53.099998474121094,51.310001373291016,51.63999938964844,50.12621307373047,4688700
2020-05-29,51.47999954223633,51.47999954223633,49.93000030517578,50.970001220703125,49.47585678100586,6603500
2020-06-01,50.720001220703125,51.91999816894531,50.0,51.810001373291016,50.29123306274414,3263900
2020-06-02,52.5,54.849998474121094,52.349998474121094,54.810001373291016,53.20328903198242,4824400
2020-06-03,56.11000061035156,56.2599983215332,53.93000030517578,55.369998931884766,53.74687194824219,4638800
2020-06-04,55.0,55.689998626708984,54.150001525878906,55.150001525878906,53.533321380615234,4361200
2020-06-05,59.209999084472656,59.86000061035156,58.220001220703125,59.310001373291016,57.57137680053711,6327200
2020-06-08,61.970001220703125,62.43000030517578,59.099998474121094,62.11000061035156,60.2892951965332,6075100
2020-06-09,59.560001373291016,61.41999816894531,58.650001525878906,59.470001220703125,57.7266845703125,6336900
2020-06-10,58.029998779296875,58.11000061035156,55.599998474121094,55.630001068115234,53.99925231933594,6349300
2020-06-11,51.77000045776367,54.93000030517578,51.06999969482422,51.150001525878906,49.65058135986328,5890600
2020-06-12,53.849998474121094,54.18000030517578,50.65999984741211,52.56999969482422,51.02894973754883,4552500
2020-06-15,49.72999954223633,52.7400016784668,49.27000045776367,52.209999084472656,50.67950439453125,5415200
2020-06-16,54.54999923706055,54.939998626708984,51.900001525878906,54.599998474121094,52.99944305419922,4660800
2020-06-17,54.5,54.54999923706055,52.439998626708984,52.47999954223633,50.94158935546875,3930500
2020-06-18,52.0,53.84000015258789,51.470001220703125,52.93000030517578,51.378395080566406,3444300
2020-06-19,55.439998626708984,55.4900016784668,52.27000045776367,52.29999923706055,50.76686477661133,7928400
2020-06-22,51.9900016784668,52.81999969482422,51.33000183105469,52.41999816894531,50.88334655761719,3335400
2020-06-23,53.189998626708984,53.5,52.0,52.459999084472656,50.92218017578125,3850000
2020-06-24,51.56999969482422,52.29999923706055,48.90999984741211,48.95000076293945,47.515071868896484,4258300
